project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
ansible/ansible,85,246,481,5768,0.251282051,0.409379325,107,75,255,0.292035398,0.159292035,0.876106195,0.404375491,113,0.575221239,59
ansible/ansible,62,317,512,5804,0.192771084,0.471055198,88,55,221,0.204301075,0.172043011,0.88172043,0.430005464,93,0.634408602,37
ansible/ansible,80,316,543,5843,0.286432161,0.409021218,99,66,95,0.349514563,0.145631068,0.873786408,0.570956333,103,0.640776699,79
ansible/ansible,97,258,573,5872,0.202479339,0.442547779,155,89,186,0.3,0.115384615,0.784615385,0.500711863,130,0.746153846,135
ansible/ansible,99,237,604,5898,0.158139535,0.401578101,128,88,369,0.224806202,0.062015504,0.751937984,0.308509111,129,0.651162791,102
ansible/ansible,91,186,634,5915,0.119617225,0.480252468,122,81,343,0.150793651,0.071428571,0.849206349,0.369565193,123,0.552845528,99
ansible/ansible,93,304,665,5934,0.077981651,0.343633964,113,86,404,0.12195122,0.024390244,0.853658537,0.309167372,120,0.425,99
ansible/ansible,111,562,696,5961,0.098360656,0.259084477,107,97,594,0.169354839,0.096774194,0.862903226,0.215151068,123,0.138211382,93
ansible/ansible,147,655,724,5986,0.071618037,0.242398946,167,132,646,0.098445596,0.093264249,0.844559585,0.23995704,188,0.053191489,141
ansible/ansible,108,371,755,6005,0.053763441,0.274027477,84,101,483,0.075757576,0.068181818,0.886363636,0.22976908,123,0.211382114,122
ansible/ansible,74,440,785,6166,0.108571429,0.317477015,49,86,478,0.123809524,0.114285714,0.876190476,0.352086526,97,0.175257732,112
ansible/ansible,113,216,816,6317,0.115523466,0.329768341,90,106,306,0.042553191,0.078014184,0.893617021,0.299435716,135,0.007407407,89
ansible/ansible,103,456,846,6697,0.030534351,0.301880313,79,100,538,0.051094891,0.109489051,0.890510949,0.324514778,135,0.02962963,104
